date,game_time,event_id,competition_id,provider_id,provider_name,home_team,away_team,home_abbr,away_abbr,home_moneyline,away_moneyline,home_price_basis,away_price_basis,home_run_line,away_run_line,total_line,over_odds,under_odds,odds_items_count
2025-03-30,17:40,401694951,401694951,58,ESPN BET,Cincinnati Reds,San Francisco Giants,CIN,SF,110.0,-130.0,close,close,0.0,-1.5,8.5,100.0,-120.0,2
2025-03-30,18:10,401694952,401694952,58,ESPN BET,Chicago White Sox,Los Angeles Angels,CHW,LAA,105.0,-125.0,close,close,0.0,-1.5,8.5,-110.0,-110.0,2
2025-03-30,18:10,401694954,401694954,58,ESPN BET,Kansas City Royals,Cleveland Guardians,KC,CLE,-115.0,-105.0,close,close,0.0,-1.5,7.5,115.0,-135.0,2
2025-03-30,18:15,401694955,401694955,58,ESPN BET,St. Louis Cardinals,Minnesota Twins,STL,MIN,-110.0,-110.0,close,close,0.0,-1.5,8.5,100.0,-120.0,2
2025-03-30,18:35,401694953,401694953,58,ESPN BET,Texas Rangers,Boston Red Sox,TEX,BOS,-155.0,130.0,close,close,0.0,1.5,7.5,-105.0,-115.0,2
2025-03-30,20:10,401694958,401694958,58,ESPN BET,Arizona Diamondbacks,Chicago Cubs,ARI,CHC,-115.0,-105.0,close,close,0.0,-1.5,8.5,-135.0,115.0,2
2025-03-30,20:10,401694959,401694959,58,ESPN BET,Seattle Mariners,Athletics,SEA,ATH,-180.0,150.0,close,close,0.0,1.5,7.5,100.0,-120.0,2
2025-03-30,23:00,401694957,401694957,58,ESPN BET,San Diego Padres,Atlanta Braves,SD,ATL,-130.0,110.0,close,close,0.0,1.5,7.5,-125.0,105.0,2
2025-03-31,18:10,401694967,401694967,58,ESPN BET,Milwaukee Brewers,Kansas City Royals,MIL,KC,-120.0,100.0,close,close,0.0,-1.5,8.5,-115.0,-105.0,2
2025-03-31,18:10,401694968,401694968,58,ESPN BET,Chicago White Sox,Minnesota Twins,CHW,MIN,160.0,-190.0,close,close,0.0,-1.5,7.5,-105.0,-115.0,2
2025-03-31,18:35,401694960,401694960,58,ESPN BET,Baltimore Orioles,Boston Red Sox,BAL,BOS,-145.0,120.0,close,close,0.0,1.5,9.5,-120.0,100.0,2
