date,season,possessions,total_line,team,opponent,is_home,team_score,opp_score,spread,team_eFG,team_TO,team_ORB,team_FTR,team_3PR,opp_eFG,opp_TO,opp_ORB,opp_FTR,opp_3PR
2025-11-12,2026,72.8125,102.0,Eastern Kentucky,Vanderbilt,0,62,92,39.2,40.0,19.2274678111588,22.727272727272727,31.666666666666664,55.00000000000001,59.42028985507246,13.733905579399142,37.83783783783784,23.18840579710145,40.57971014492754
2025-11-12,2026,72.8125,102.0,Vanderbilt,Eastern Kentucky,1,92,62,-39.2,59.42028985507246,13.733905579399142,37.83783783783784,23.18840579710145,40.57971014492754,40.0,19.2274678111588,22.727272727272727,31.666666666666664,55.00000000000001
2025-11-12,2026,74.0375,91.0,Saint Joseph's,Virginia Tech,0,59,94,16.4,41.04477611940299,25.662670943778494,33.33333333333333,7.462686567164178,41.7910447761194,59.589041095890416,9.454668242444708,32.432432432432435,16.43835616438356,36.986301369863014
2025-11-12,2026,74.0375,91.0,Virginia Tech,Saint Joseph's,1,94,59,-16.4,59.589041095890416,9.454668242444708,32.432432432432435,16.43835616438356,36.986301369863014,41.04477611940299,25.662670943778494,33.33333333333333,7.462686567164178,41.7910447761194
2025-11-12,2026,72.8,,Tulsa,Oral Roberts,0,88,87,-13.3,54.54545454545454,16.483516483516482,34.285714285714285,65.45454545454545,41.81818181818181,61.66666666666667,13.736263736263737,18.75,33.33333333333333,55.00000000000001
2025-11-12,2026,72.8,,Oral Roberts,Tulsa,1,87,88,13.3,61.66666666666667,13.736263736263737,18.75,33.33333333333333,55.00000000000001,54.54545454545454,16.483516483516482,34.285714285714285,65.45454545454545,41.81818181818181
2025-11-12,2026,73.625,90.0,Eastern Washington,Seattle,0,67,94,16.4,48.275862068965516,20.37351443123939,22.22222222222222,29.310344827586203,34.48275862068966,74.56140350877193,21.731748726655347,20.833333333333336,22.807017543859647,35.08771929824561
2025-11-12,2026,73.625,90.0,Seattle,Eastern Washington,1,94,67,-16.4,74.56140350877193,21.731748726655347,20.833333333333336,22.807017543859647,35.08771929824561,48.275862068965516,20.37351443123939,22.22222222222222,29.310344827586203,34.48275862068966
2025-11-12,2026,67.05,,Idaho,San Diego,0,74,78,0.9,46.61016949152542,23.862788963460105,51.35135135135135,42.3728813559322,42.3728813559322,63.39285714285714,19.388516032811335,27.586206896551722,19.642857142857142,44.642857142857146
2025-11-12,2026,67.05,,San Diego,Idaho,1,78,74,-0.9,63.39285714285714,19.388516032811335,27.586206896551722,19.642857142857142,44.642857142857146,46.61016949152542,23.862788963460105,51.35135135135135,42.3728813559322,42.3728813559322
2025-11-12,2026,68.6125,,Long Beach St.,Pacific,0,66,69,12.0,48.214285714285715,18.946984878848607,27.500000000000004,37.5,42.857142857142854,45.19230769230769,23.319366004736747,35.13513513513514,57.692307692307686,38.46153846153847
2025-11-12,2026,68.6125,,Pacific,Long Beach St.,1,69,66,-12.0,45.19230769230769,23.319366004736747,35.13513513513514,57.692307692307686,38.46153846153847,48.214285714285715,18.946984878848607,27.500000000000004,37.5,42.857142857142854
2025-11-12,2026,74.525,,Dartmouth,Bryant,0,75,82,-2.2,50.76923076923077,16.1019792016102,21.951219512195124,24.615384615384617,52.307692307692314,52.459016393442624,9.39282120093928,13.513513513513514,36.0655737704918,47.540983606557376
2025-11-12,2026,74.525,,Bryant,Dartmouth,1,82,75,2.2,52.459016393442624,9.39282120093928,13.513513513513514,36.0655737704918,47.540983606557376,50.76923076923077,16.1019792016102,21.951219512195124,24.615384615384617,52.307692307692314
2025-11-12,2026,68.6375,103.0,Coppin St.,South Florida,0,50,100,42.0,32.69230769230769,26.22473137861956,30.76923076923077,42.30769230769231,21.153846153846153,61.19402985074627,13.11236568930978,55.55555555555556,40.298507462686565,56.71641791044776
2025-11-12,2026,68.6375,103.0,South Florida,Coppin St.,1,100,50,-42.0,61.19402985074627,13.11236568930978,55.55555555555556,40.298507462686565,56.71641791044776,32.69230769230769,26.22473137861956,30.76923076923077,42.30769230769231,21.153846153846153
2025-11-12,2026,70.4,,UTSA,Texas St.,0,69,80,7.6,44.91525423728814,15.625,25.64102564102564,37.28813559322034,44.06779661016949,44.776119402985074,12.784090909090908,43.90243902439025,38.80597014925373,29.850746268656714
2025-11-12,2026,70.4,,Texas St.,UTSA,1,80,69,-7.6,44.776119402985074,12.784090909090908,43.90243902439025,38.80597014925373,29.850746268656714,44.91525423728814,15.625,25.64102564102564,37.28813559322034,44.06779661016949
2025-11-12,2026,61.9625,90.0,Oakland,Houston,0,45,78,23.5,34.31372549019608,20.980431712729477,26.31578947368421,29.411764705882355,25.49019607843137,51.40845070422535,9.683276175105911,45.0,11.267605633802818,43.66197183098591
2025-11-12,2026,61.9625,90.0,Houston,Oakland,1,78,45,-23.5,51.40845070422535,9.683276175105911,45.0,11.267605633802818,43.66197183098591,34.31372549019608,20.980431712729477,26.31578947368421,29.411764705882355,25.49019607843137
2025-11-12,2026,83.76249999999999,,Southern Indiana,South Dakota,0,74,89,10.1,37.903225806451616,17.90777495896135,21.951219512195124,53.2258064516129,37.096774193548384,45.614035087719294,21.48932995075362,34.21052631578947,80.7017543859649,14.035087719298245
2025-11-12,2026,83.76249999999999,,South Dakota,Southern Indiana,1,89,74,-10.1,45.614035087719294,21.48932995075362,34.21052631578947,80.7017543859649,14.035087719298245,37.903225806451616,17.90777495896135,21.951219512195124,53.2258064516129,37.096774193548384
2025-11-12,2026,74.57499999999999,,Montana St.,Stanford,0,68,77,11.3,52.58620689655172,21.454911163258465,16.666666666666664,22.413793103448278,39.6551724137931,49.193548387096776,16.09118337244385,25.0,33.87096774193548,30.64516129032258
2025-11-12,2026,74.57499999999999,,Stanford,Montana St.,1,77,68,-11.3,49.193548387096776,16.09118337244385,25.0,33.87096774193548,30.64516129032258,52.58620689655172,21.454911163258465,16.666666666666664,22.413793103448278,39.6551724137931
