team,net_team,match_source,match_score,needs_review
Stanislaus State Warriors,,unmatched,0.0,True
Stephen F. Austin Ladyjacks,,unmatched,0.0,True
Stephens,,unmatched,0.0,True
Stetson Hatters,Stetson,alias_exact,1.0,False
Stillman Tigers,,unmatched,0.0,True
Stonehill Skyhawks,Stonehill,alias_exact,1.0,False
Stony Brook Seawolves,Stony Brook,alias_exact,1.0,False
Syracuse Orange,Syracuse,alias_exact,1.0,False
TCU Horned Frogs,TCU,alias_exact,1.0,False
Talladega Tornadoes,,unmatched,0.0,True
Tarleton State Texans,Tarleton St.,alias_exact,1.0,False
Temple Owls,Temple,alias_exact,1.0,False
Tennessee Lady Volunteers,,unmatched,0.0,True
Tennessee State Lady Tigers,Tennessee St.,alias_exact,1.0,False
Tennessee Tech Golden Eagles,Tennessee Tech,alias_exact,1.0,False
Texas A&M Aggies,Texas A&M,alias_exact,1.0,False
Texas A&M-Corpus Christi Islanders,A&M-Corpus Christi,normalized_exact,1.0,False
Texas A&M-International Dustdevils,,unmatched,0.0,True
Texas A&M-Kingsville Javelinas,,unmatched,0.0,True
Texas A&M-San Antonio Jaguars,,unmatched,0.0,True
Texas A&M-Texarkana Eagles,,unmatched,0.0,True
Texas College Steers,,unmatched,0.0,True
Texas Longhorns,Texas,alias_exact,1.0,False
Texas Southern Tigers,Texas Southern,alias_exact,1.0,False
Texas State Bobcats,Texas St.,alias_exact,1.0,False
Texas Tech Lady Raiders,Texas Tech,alias_exact,1.0,False
Thomas (GA) Night Hawks,,unmatched,0.0,True
Toledo Rockets,Toledo,alias_exact,1.0,False
Tougaloo Bulldogs,,unmatched,0.0,True
Towson Tigers,Towson,alias_exact,1.0,False
Trinity (FL) Tigers,,unmatched,0.0,True
Trinity Baptist Eagles,,unmatched,0.0,True
Troy Trojans,Troy,alias_exact,1.0,False
Truman State Bulldogs,,unmatched,0.0,True
Tulane Green Wave,Tulane,alias_exact,1.0,False
Tulsa Golden Hurricane,Tulsa,alias_exact,1.0,False
Tusculum Pioneers,,unmatched,0.0,True
Tuskegee Golden Tigers,,unmatched,0.0,True
UAB Blazers,UAB,alias_exact,1.0,False
UAlbany Great Danes,UAlbany,alias_fuzzy,0.9231,False
UC Davis Aggies,UC Davis,alias_exact,1.0,False
UC Irvine Anteaters,UC Irvine,alias_exact,1.0,False
UC Merced Bobcats,,unmatched,0.0,True
UC Riverside Highlanders,UC Riverside,alias_exact,1.0,False
UC San Diego Tritons,UC San Diego,alias_exact,1.0,False
UC Santa Barbara Gauchos,UC Santa Barbara,alias_exact,1.0,False
UCF Knights,UCF,alias_exact,1.0,False
UCLA Bruins,UCLA,alias_exact,1.0,False
UConn Huskies,UConn,alias_exact,1.0,False
UIC Flames,UIC,alias_exact,1.0,False
UL Monroe Warhawks,ULM,alias_exact,1.0,False
UMBC Retrievers,UMBC,alias_exact,1.0,False
UMass Lowell River Hawks,UMass Lowell,alias_exact,1.0,False
UNC Asheville Bulldogs,UNC Asheville,alias_exact,1.0,False
UNC Greensboro Spartans,UNC Greensboro,alias_exact,1.0,False
UNC Pembroke Braves,,unmatched,0.0,True
UNC Wilmington Seahawks,UNCW,alias_exact,1.0,False
UNLV Lady Rebels,,unmatched,0.0,True
UNT Dallas Trailblazers,,unmatched,0.0,True
USC Trojans,Southern California,alias_exact,1.0,False
UT Arlington Mavericks,UT Arlington,alias_exact,1.0,False
UT Dallas Comets,,unmatched,0.0,True
UT Martin Skyhawks,UT Martin,alias_exact,1.0,False
UT Rio Grande Valley Vaqueros,UTRGV,alias_exact,1.0,False
UTEP Miners,UTEP,alias_exact,1.0,False
UTSA Roadrunners,UTSA,alias_exact,1.0,False
UVA Wise Cavaliers,,unmatched,0.0,True
University of The Southwest Mustangs,,unmatched,0.0,True
Ursinus Bears,,unmatched,0.0,True
Utah State Aggies,Utah St.,alias_exact,1.0,False
Utah Tech Trailblazers,Utah Tech,alias_exact,1.0,False
Utah Utes,Utah,alias_exact,1.0,False
Utah Valley Wolverines,Utah Valley,alias_exact,1.0,False
VCU Rams,VCU,alias_exact,1.0,False
VIRGINISL Buccaneers,,unmatched,0.0,True
Valparaiso Beacons,Valparaiso,alias_exact,1.0,False
Vanderbilt Commodores,Vanderbilt,alias_exact,1.0,False
Vermont Catamounts,Vermont,alias_exact,1.0,False
Villanova Wildcats,Villanova,alias_exact,1.0,False
Virginia Cavaliers,Virginia,alias_exact,1.0,False
Virginia St Trojans,,unmatched,0.0,True
Virginia Tech Hokies,Virginia Tech,alias_exact,1.0,False
Virginia-Lynchburg Dragons,,unmatched,0.0,True
Wagner Seahawks,Wagner,alias_exact,1.0,False
Wake Forest Demon Deacons,Wake Forest,alias_exact,1.0,False
Walla Walla Wolves,,unmatched,0.0,True
Walsh Cavaliers,,unmatched,0.0,True
Warner Pacific Knights,,unmatched,0.0,True
Warner University Royals,,unmatched,0.0,True
Warren Wilson Owls,,unmatched,0.0,True
Washington Adventist Shock,,unmatched,0.0,True
Washington Huskies,Washington,alias_exact,1.0,False
Washington State Cougars,Washington St.,alias_exact,1.0,False
Wayne State (MI) Warriors,,unmatched,0.0,True
Weber State Wildcats,Weber St.,alias_exact,1.0,False
Wesleyan College (GA) Wolves,,unmatched,0.0,True
West Alabama Tigers,,unmatched,0.0,True
West Chester Golden Rams,,unmatched,0.0,True
West Georgia Wolves,West Ga.,alias_exact,1.0,False
West Liberty Hilltoppers,,unmatched,0.0,True
West Virginia Mountaineers,West Virginia,alias_exact,1.0,False
Westcliff Warriors,,unmatched,0.0,True
Western Carolina Catamounts,Western Caro.,alias_exact,1.0,False
Western Illinois Leathernecks,Western Ill.,alias_exact,1.0,False
Western Kentucky Lady Toppers,Western Ky.,alias_exact,1.0,False
Western Michigan Broncos,Western Mich.,alias_exact,1.0,False
Western New Mexico Mustangs,,unmatched,0.0,True
Western Oregon Wolves,,unmatched,0.0,True
Westminster (UT) Griffins,,unmatched,0.0,True
Westmont Warriors,,unmatched,0.0,True
Wheaton College (MA) Lyons,,unmatched,0.0,True
Wichita State Shockers,Wichita St.,alias_exact,1.0,False
Wilberforce Bulldogs,,unmatched,0.0,True
Wiley Wildcats,,unmatched,0.0,True
Willamette Bearcats,,unmatched,0.0,True
William & Mary Tribe,William & Mary,alias_exact,1.0,False
William Carey Crusaders,,unmatched,0.0,True
William Jewell Cardinals,,unmatched,0.0,True
William Peace Pacers,,unmatched,0.0,True
William Woods Owls,,unmatched,0.0,True
Winston-Salem Rams,,unmatched,0.0,True
Winthrop Eagles,Winthrop,alias_exact,1.0,False
Wisconsin Badgers,Wisconsin,alias_exact,1.0,False
Wisconsin-Lutheran Warriors,,unmatched,0.0,True
Wisconsin-Stout Blue Devils,,unmatched,0.0,True
Wofford Terriers,Wofford,alias_exact,1.0,False
Wright State Raiders,Wright St.,alias_exact,1.0,False
Wyoming Cowgirls,Wyoming,alias_exact,1.0,False
Xavier Musketeers,Xavier,alias_exact,1.0,False
Yale Bulldogs,Yale,alias_exact,1.0,False
Youngstown State Penguins,Youngstown St.,alias_exact,1.0,False
