date,picked_team,picked_spread,conf,pick_correct
2025-12-19,Abilene Christian,26.5,0.5435527631163511,True
2025-12-19,Florida A&M,16.5,0.5755114106718038,False
2025-12-19,Washington,-1.5,0.5656952596355054,False
2025-12-19,San Diego,13.8,0.5577274429739922,True
2025-12-19,Milwaukee,2.1,0.5603071287639301,True
2025-12-19,Southeastern Louisiana,25.2,0.5367472526612886,True
2025-12-20,Georgia St.,10.3,0.5810555964117926,True
2025-12-20,Tennessee Martin,0.0,0.611196125818022,True
2025-12-20,UC Riverside,17.0,0.63693074190848,True
2025-12-20,St. John's,-2.8,0.5314798723904218,False
2025-12-20,USC Upstate,11.8,0.5837547645544169,True
2025-12-20,Portland St.,2.3,0.5454355209311693,True
2025-12-20,Florida Gulf Coast,18.5,0.5492764982414082,False
2025-12-20,Northeastern,16.4,0.5532430281118479,True
2025-12-20,Morehead St.,0.5,0.6009529892804739,True
2025-12-20,Marshall,8.4,0.5491969561689103,True
2025-12-20,Duke,-4.6,0.5799364789580083,False
2025-12-20,Marquette,13.7,0.578131900638398,False
2025-12-20,Mercer,5.2,0.5399842935612202,False
2025-12-20,LIU,7.4,0.58474976793584,True
2025-12-20,Ball St.,9.8,0.6068281419662909,True
2025-12-20,Louisiana,-0.8,0.6087618291613852,True
2025-12-20,Grand Canyon,2.3,0.5796603721924032,True
2025-12-20,Denver,11.5,0.638878256804404,True
2025-12-20,Butler,-2.3,0.5950409965335199,True
2025-12-20,Iona,1.5,0.5443815956802429,True
2025-12-20,Michigan St.,-17.5,0.5783978690908238,False
2025-12-20,Bowling Green,-2.3,0.5450095585314039,True
2025-12-20,Lafayette,18.0,0.5726086654056967,True
2025-12-20,San Jose St.,15.2,0.6042182889843597,False
2025-12-20,Memphis,0.5,0.5866673600098232,False
2025-12-20,James Madison,5.1,0.5569733203630919,True
2025-12-20,Arizona,-12.1,0.5399134209400838,True
2025-12-20,Sacramento St.,14.6,0.5778161753940517,True
2025-12-20,North Carolina,-3.1,0.5367966359245638,False
2025-12-20,UNLV,-7.8,0.5345164154358247,True
2025-12-20,South Dakota,23.7,0.5438384706850469,False
2025-12-20,The Citadel,24.9,0.5554171527864544,True
2025-12-20,Elon,11.4,0.5888332171912479,True
2025-12-20,Bucknell,22.2,0.5414514921124188,False
2025-12-20,Arkansas,5.7,0.5309656203830797,False
2025-12-20,Maryland,15.4,0.5735221269195065,True
2025-12-20,Rice,2.1,0.5690516899835272,False
2025-12-20,Jacksonville St.,8.0,0.5721297664083824,True
2025-12-20,Coastal Carolina,2.6,0.5329022603568051,True
2025-12-21,Illinois Chicago,4.3,0.5820625251612145,False
2025-12-21,Gardner Webb,44.7,0.5991490729639168,True
2025-12-21,Southern Illinois,4.5,0.5638441314868887,True
2025-12-21,Cincinnati,4.9,0.546721576159244,True
2025-12-21,Indiana St.,16.3,0.5777797333898484,False
2025-12-21,North Florida,33.8,0.5324311778427215,False
2025-12-21,Presbyterian,3.1,0.5651247796704468,False
2025-12-21,Stony Brook,7.5,0.5492324652245928,False
2025-12-21,Quinnipiac,5.8,0.5557617617500414,False
2025-12-21,UNC Asheville,14.4,0.5451955660483913,False
2025-12-21,Cal St. Fullerton,21.9,0.5379962168811829,True
2025-12-21,UMBC,22.1,0.5367075807354829,False
2025-12-21,Purdue Fort Wayne,19.7,0.5661253016521159,True
2025-12-21,Eastern Kentucky,18.2,0.5577897305862535,False
2025-12-21,Maine,10.9,0.5517976409581791,False
2025-12-21,North Dakota St.,0.1,0.5630812887762355,False
2025-12-21,Connecticut,-13.6,0.5320486386124205,True
2025-12-21,Oregon St.,12.6,0.5512951791736292,True
2025-12-21,Columbia,8.9,0.631417087734528,False
2025-12-21,VMI,11.5,0.6019494302282803,True
2025-12-21,Charleston,2.9,0.5306778246182451,True
2025-12-21,La Salle,40.6,0.5406024771291635,False
2025-12-21,Milwaukee,-4.3,0.5708351767264052,True
2025-12-21,Charleston Southern,8.1,0.5755517161827968,True
2025-12-21,Northern Arizona,10.7,0.5497160236263794,False
2025-12-21,Loyola MD,25.1,0.550838909770365,True
2025-12-21,Mississippi,7.5,0.5605202229778754,False
2025-12-21,North Dakota,30.9,0.5569881656857444,True
2025-12-21,Norfolk St.,6.9,0.6066126690308034,True
2025-12-21,Southern,24.3,0.5490688318835788,False
2025-12-21,Colgate,24.6,0.5344615022634359,False
2025-12-21,Albany,6.0,0.5420999644156016,False
2025-12-22,Eastern Michigan,10.2,0.5395242133127608,True
2025-12-22,Sacramento St.,9.7,0.5895717278287891,False
2025-12-22,Norfolk St.,9.5,0.5724871435105046,False
2025-12-22,High Point,-24.5,0.5431476195617714,True
2025-12-22,Stonehill,25.1,0.5389147151560728,False
2025-12-22,UT Arlington,-4.0,0.5584609504396143,True
2025-12-22,Jacksonville,21.6,0.5463263268284368,False
2025-12-22,New Haven,13.3,0.5910346456794304,False
2025-12-22,Princeton,10.4,0.5650219789976418,True
2025-12-22,Prairie View A&M,31.5,0.549827420726394,True
2025-12-22,American,26.7,0.5633166423560856,False
2025-12-22,Northeastern,8.8,0.541169972230181,True
2025-12-22,Siena,21.0,0.5885670238445371,True
2025-12-22,Denver,22.4,0.5723803942442391,True
2025-12-22,Coastal Carolina,5.9,0.5315801041797787,True
2025-12-22,North Dakota St.,-2.6,0.5766442579803062,False
2025-12-22,Portland,6.0,0.5389108923768022,False
2025-12-22,East Carolina,30.0,0.5307431142315774,False
2025-12-22,Utah Tech,18.6,0.5689575174294396,False
2025-12-23,Cal St. Bakersfield,5.2,0.5516095397992826,True
2025-12-23,Morgan St.,26.1,0.5508326733999525,False
2025-12-23,Bellarmine,29.9,0.5305215632377205,True
2025-12-23,Binghamton,12.1,0.5665048328124576,True
2025-12-23,Villanova,2.0,0.544160189696149,True
2025-12-23,Harvard,25.8,0.5442056033774127,False
2025-12-23,Campbell,-1.9,0.5717714513872455,True
2025-12-23,Florida Atlantic,5.4,0.5726409444262361,True
2025-12-23,Lindenwood,4.0,0.5814750430515683,False
2025-12-27,Cal St. Northridge,16.0,0.5534236067993117,True
2025-12-28,Nebraska Omaha,20.6,0.6017342913626871,False
2025-12-28,Santa Clara,-8.1,0.5731747475072515,True
2025-12-28,Charleston Southern,11.4,0.5615084853220229,True
2025-12-28,Saint Mary's,-6.8,0.6103561324904745,False
2025-12-28,Louisiana Monroe,33.0,0.5562448273409086,True
2025-12-28,Winthrop,23.4,0.5674649962057638,False
2025-12-28,Norfolk St.,2.2,0.5473702063214959,False
2025-12-28,San Francisco,2.1,0.5515924635600095,True
2025-12-28,Florida A&M,18.8,0.5748380680341061,False
2025-12-28,Boston College,-10.9,0.5435246875277479,False
2025-12-29,Alabama St.,19.6,0.607997111344367,False
2025-12-29,Cal Baptist,9.5,0.5494048570022378,True
2025-12-29,New Orleans,4.9,0.5972228516900822,True
2025-12-29,Penn St.,-20.7,0.5521288145124745,True
2025-12-29,Lamar,-1.2,0.6022580152839654,True
2025-12-29,Southern Utah,12.3,0.5785090789972869,False
2025-12-29,Fairleigh Dickinson,25.7,0.5651850737897758,True
2025-12-29,Southern Illinois,8.3,0.5850128374077355,True
2025-12-29,McNeese St.,25.6,0.5422011969461165,False
2025-12-29,Detroit Mercy,10.9,0.6130553400324292,True
